sku,product_name,category,supplier_id,base_unit_price,unit_cost,shelf_life_days,reorder_min_units,order_pack_size,active
SKU-1001,Sparkling Water 0.5L,Beverages,SUP-002,2.44,1.28,365,61,12,1
SKU-1002,Orange Juice 1L,Beverages,SUP-002,1.39,0.76,90,105,48,1
SKU-1003,Energy Drink 0.25L,Beverages,SUP-002,1.17,0.63,180,94,6,1
SKU-1004,Iced Tea Peach 0.5L,Beverages,SUP-002,2.28,1.58,730,58,48,1
SKU-1005,Cola 0.5L,Beverages,SUP-002,2.34,1.67,90,50,48,1
SKU-1006,Mineral Water 1.5L,Beverages,SUP-002,1.81,1.01,365,43,6,1
SKU-1007,Family Sparkling Water 0.5L,Beverages,SUP-002,1.9,1.15,365,107,24,1
SKU-1008,Family Orange Juice 1L,Beverages,SUP-002,2.79,1.94,90,78,6,1
SKU-1009,Family Energy Drink 0.25L,Beverages,SUP-002,2.26,1.63,365,103,12,1
SKU-1010,Family Iced Tea Peach 0.5L,Beverages,SUP-002,2.58,1.37,180,67,6,1
SKU-1011,Family Cola 0.5L,Beverages,SUP-002,2.9,2.11,730,65,48,1
SKU-1012,Family Mineral Water 1.5L,Beverages,SUP-002,2.43,1.48,365,75,12,1
SKU-1013,Premium Sparkling Water 0.5L,Beverages,SUP-002,2.51,1.73,90,107,12,1
SKU-1014,Premium Orange Juice 1L,Beverages,SUP-002,2.22,1.28,730,78,24,1
SKU-1015,Premium Energy Drink 0.25L,Beverages,SUP-002,3.18,2.14,180,117,24,1
SKU-1016,Potato Chips 150g,Snacks,SUP-006,3.51,2.48,180,34,24,1
SKU-1017,Chocolate Bar 50g,Snacks,SUP-006,2.14,1.15,365,57,48,1
SKU-1018,Granola Bar 40g,Snacks,SUP-006,2.13,1.58,730,48,24,1
SKU-1019,Salted Peanuts 100g,Snacks,SUP-006,1.33,0.93,365,104,48,1
SKU-1020,Crackers 100g,Snacks,SUP-006,3.68,2.27,180,47,48,1
SKU-1021,Popcorn 90g,Snacks,SUP-006,1.18,0.63,90,49,12,1
SKU-1022,Family Potato Chips 150g,Snacks,SUP-006,3.36,2.09,90,79,48,1
SKU-1023,Family Chocolate Bar 50g,Snacks,SUP-006,2.75,1.74,365,100,6,1
SKU-1024,Family Granola Bar 40g,Snacks,SUP-006,3.01,1.65,365,112,24,1
SKU-1025,Family Salted Peanuts 100g,Snacks,SUP-006,1.25,0.78,730,30,24,1
SKU-1026,Family Crackers 100g,Snacks,SUP-006,3.91,2.75,90,110,24,1
SKU-1027,Family Popcorn 90g,Snacks,SUP-006,3.51,2.25,180,49,24,1
SKU-1028,Premium Potato Chips 150g,Snacks,SUP-006,3.26,2.12,90,106,24,1
SKU-1029,Premium Chocolate Bar 50g,Snacks,SUP-006,2.41,1.32,365,69,12,1
SKU-1030,Premium Granola Bar 40g,Snacks,SUP-006,1.08,0.79,90,40,48,1
SKU-1031,Greek Yogurt 150g,Dairy,SUP-001,5.49,4.14,10,46,48,1
SKU-1032,Milk 2.5% 1L,Dairy,SUP-001,6.21,3.48,30,57,12,1
SKU-1033,Cottage Cheese 200g,Dairy,SUP-001,4.92,3.03,14,86,48,1
SKU-1034,Butter 200g,Dairy,SUP-001,1.67,0.96,14,32,12,1
SKU-1035,Hard Cheese 250g,Dairy,SUP-001,4.24,2.21,7,59,6,1
SKU-1036,Kefir 1L,Dairy,SUP-001,5.98,4.34,7,95,12,1
SKU-1037,Family Greek Yogurt 150g,Dairy,SUP-001,2.53,1.61,10,103,48,1
